barrio,poblacion,hogares,nbi,pct_nbi,escuelas_total,escuelas_estatales,escuelas_privadas,dispensarios_municipales,paradas_colectivo,lineas_colectivo,luminarias_reportes,comisarias,centros_vecinales,poblacion_log,pct_escuelas_privadas,escuelas_por_1000_hab,dispensarios_por_10000_hab,comisarias_por_10000_hab,paradas_por_1000_hab,centros_vecinales_por_10000_hab,tiene_escuela,tiene_dispensario,tiene_comisaria,tiene_transporte,infraestructura_score,centroide_lat,centroide_lon,area_barrio_km2,densidad_poblacional,densidad_hogares,infraestructura_por_km2,educacion_ratio_publico_privado,servicios_basicos_score,tamano_promedio_hogar,cluster_barrio,cluster_descripcion,categoria_infraestructura,tooltip_html
1 DE MAYO,19996.0,5576.0,342.0,6.13,7,5,2,0,16,3,38,0,2,9.903,0.286,0.35,0.0,0.0,0.8,1.0,1,0,0,1,0.0391,-31.4359592193562,-64.1176949424045,1.13,17695.58,4934.51,0.035,2.0,0.67,3.59,1,Cluster 2: Vulnerabilidad Alta / Infraestructura Escasa,Muy Baja,<b>1 DE MAYO</b><hr>Pob: 19996.0<br>Cluster: Cluster 2: Vulnerabilidad Alta / Infraestructura Escasa<br>Infr: Muy Baja
2 DE SEPTIEMBRE,2624.0,588.0,126.0,21.43,1,1,0,1,11,3,0,0,1,7.873,0.0,0.38,3.81,0.0,4.19,3.81,1,1,0,1,0.2311,-31.3336313559965,-64.2419277567805,0.24,10933.33,2450.0,0.963,2.0,1.0,4.46,1,Cluster 2: Vulnerabilidad Alta / Infraestructura Escasa,Alta,<b>2 DE SEPTIEMBRE</b><hr>Pob: 2624.0<br>Cluster: Cluster 2: Vulnerabilidad Alta / Infraestructura Escasa<br>Infr: Alta
20 DE JUNIO,661.0,200.0,28.0,14.0,0,0,0,1,16,5,5,0,0,6.495,0.0,0.0,6.656999999999986,0.0,24.0,0.0,0,1,0,1,0.6667,-31.38667683145,-64.1637940986309,0.04,16525.0,5000.0,16.667,1.0,0.67,3.3,0,Cluster 1: Urbano Consolidado (Alta Infraestructura),Muy Alta,<b>20 DE JUNIO</b><hr>Pob: 661.0<br>Cluster: Cluster 1: Urbano Consolidado (Alta Infraestructura)<br>Infr: Muy Alta
23 DE ABRIL,1879.0,424.0,69.0,16.27,0,0,0,0,3,1,30,0,1,7.539,0.0,0.0,0.0,0.0,1.6,5.32,0,0,0,1,0.0296,-31.4576861165788,-64.1279620826956,0.18,10438.89,2355.56,0.164,1.0,0.33,4.43,1,Cluster 2: Vulnerabilidad Alta / Infraestructura Escasa,Muy Baja,<b>23 DE ABRIL</b><hr>Pob: 1879.0<br>Cluster: Cluster 2: Vulnerabilidad Alta / Infraestructura Escasa<br>Infr: Muy Baja
25 DE MAYO,500.0,200.0,31.0,15.5,5,5,0,0,12,1,4,0,4,6.217,0.0,4.8035,0.0,0.0,24.0,80.0,1,0,0,1,0.7778,-31.4900986725101,-64.0823231112529,0.18,2777.78,1111.11,4.321,6.0,0.67,2.5,0,Cluster 1: Urbano Consolidado (Alta Infraestructura),Muy Alta,<b>25 DE MAYO</b><hr>Pob: 500.0<br>Cluster: Cluster 1: Urbano Consolidado (Alta Infraestructura)<br>Infr: Muy Alta
4 DE FEBRERO,854.0,207.0,16.0,7.73,0,0,0,0,2,2,11,0,1,6.751,0.0,0.0,0.0,0.0,2.34,11.71,0,0,0,1,0.0433,-31.4561267034649,-64.1456965562471,0.25,3416.0,828.0,0.173,1.0,0.33,4.13,1,Cluster 2: Vulnerabilidad Alta / Infraestructura Escasa,Muy Baja,<b>4 DE FEBRERO</b><hr>Pob: 854.0<br>Cluster: Cluster 2: Vulnerabilidad Alta / Infraestructura Escasa<br>Infr: Muy Baja
ACHAVAL PENA,754.0,218.0,10.0,4.59,0,0,0,0,6,1,78,0,0,6.627,0.0,0.0,0.0,0.0,7.96,0.0,0,0,0,1,0.1474,-31.436225387803,-64.2040585961533,8.08,93.32,26.98,0.018,1.0,0.33,3.46,1,Cluster 2: Vulnerabilidad Alta / Infraestructura Escasa,Baja,<b>ACHAVAL PENA</b><hr>Pob: 754.0<br>Cluster: Cluster 2: Vulnerabilidad Alta / Infraestructura Escasa<br>Infr: Baja
ACOSTA,5512.0,1519.0,137.0,9.02,7,7,0,0,18,3,15,0,1,8.615,0.0,1.27,0.0,0.0,3.27,1.81,1,0,0,1,0.1487,-31.4236045698365,-64.1235108429697,0.62,8890.32,2450.0,0.24,8.0,0.67,3.63,1,Cluster 2: Vulnerabilidad Alta / Infraestructura Escasa,Media,<b>ACOSTA</b><hr>Pob: 5512.0<br>Cluster: Cluster 2: Vulnerabilidad Alta / Infraestructura Escasa<br>Infr: Media
AERONAUTICO- VILLA ZEPELLIN,928.0,256.0,7.0,2.73,4,4,0,0,10,1,0,0,0,6.834,0.0,4.31,0.0,0.0,10.78,0.0,1,0,0,1,0.4987,-31.4304095651434,-64.270881350096,0.0,0.0,0.0,0.0,5.0,0.67,3.62,0,Cluster 1: Urbano Consolidado (Alta Infraestructura),Muy Alta,<b>AERONAUTICO- VILLA ZEPELLIN</b><hr>Pob: 928.0<br>Cluster: Cluster 1: Urbano Consolidado (Alta Infraestructura)<br>Infr: Muy Alta
AEROPUERTO,500.0,200.0,5.0,2.5,1,1,0,0,8,2,0,0,0,6.217,0.0,2.0,0.0,0.0,16.0,0.0,1,0,0,1,0.4351,-31.3249626672809,-64.1957356859382,3.11,160.77,64.31,0.14,2.0,0.67,2.5,0,Cluster 1: Urbano Consolidado (Alta Infraestructura),Muy Alta,<b>AEROPUERTO</b><hr>Pob: 500.0<br>Cluster: Cluster 1: Urbano Consolidado (Alta Infraestructura)<br>Infr: Muy Alta
